FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,wkb_geometry
trafiktaelling.637,9002,Høkerboderne,sydøst for Halmtorvet,11,100,Øvrige tællinger,609,"12,5",700,800,1746,,1800,2100,,,,,,,,,,,20150909,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/hYbDNnhSSa.pdf,12.5,,,,,,POINT (12.557519148453176 55.668456677881615)
trafiktaelling.638,9003,Slagterboderne,sydøst for Halmtorvet,4,100,Øvrige tællinger,1715,"4,6",2000,2200,768,,800,900,,,,,,,,,,,20150909,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/9Dn5zddJGl.pdf,4.5999999,,,,,,POINT (12.558566000720125 55.669017887850124)
trafiktaelling.639,9004,Staldgade,nordvest for Ingerslevsgade,32,100,Øvrige tællinger,928,"9,9",1100,1200,266,,300,300,,,,,,,,,,,20150909,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/iawByh33Fd.pdf,9.89999962,,,,,,POINT (12.562933805520592 55.667978498205116)
trafiktaelling.640,9005,Dronningens Tværgade,Øst for Borgergade,24,100,Øvrige tællinger,5472,"4,6",6400,7200,2650,"3,1",2700,3200,,,,,,,,,,,20141008,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/47y7VYSdrn.pdf,4.5999999,3.0999999,,,,,POINT (12.586381108462522 55.6838304469952)
trafiktaelling.641,9013,Borgervænget,øst for Hans Knudsens Plads,7,100,Øvrige tællinger,900,"12,7",1100,1200,800,,800,1000,,,,,,,,,,,20091021,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Tv2UdW0p9P.pdf,12.69999981,,,,,,POINT (12.561379519248247 55.713594242932274)
trafiktaelling.642,9014,Wittenberggade,øst for Moselgade,37,100,Øvrige tællinger,4100,2,4800,5400,3200,"2,2",3300,3900,1900,2200,2300,,,,,,,2200,20090421,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/IyAw3SM6gH.pdf,2,2.20000005,,,,,POINT (12.61221826734709 55.66179348885956)
trafiktaelling.643,9015,Carl Jacobsens Vej,øst for Gl. Køge Landevej,35,100,Øvrige tællinger,3700,"7,9",4300,4800,900,"2,6",900,1100,300,400,400,,,,,,,400,20090526,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/mNh7VfQzIV.pdf,7.9000001,2.5999999,,,,,POINT (12.513213495829481 55.655459926763676)
trafiktaelling.644,9016,Willemoesgade,øst for Østerbrogade,3,100,Øvrige tællinger,700,"1,7",800,900,500,,500,600,,,,,,,,,,,20090520,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/lV4KfZpJ66.pdf,1.70000005,,,,,,POINT (12.580256200076358 55.69726765209504)
trafiktaelling.645,9017,Fiskedamsgade,nord for Classensgade,3,100,Øvrige tællinger,600,"3,1",700,800,600,,600,700,,,,,,,,,,,20090520,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/RAmtKFc02y.pdf,3.0999999,,,,,,POINT (12.588418683414108 55.69866235924387)
trafiktaelling.646,9018,Slagelsegade,øst for Østerbrogade,6,100,Øvrige tællinger,1000,"2,6",1200,1300,1600,"4,3",1600,2000,900,1100,1100,,,,,,,1100,20090901,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/tzgZNSEStu.pdf,2.5999999,4.30000019,,,,,POINT (12.579440588872169 55.69825697556637)
